Protein,go_term_type,go_term
O95067,Function,protein kinase binding
Q5T5M9,Function,cyclin-dependent protein serine/threonine kinase regulator activity
Q5T5M9,Function,protein kinase binding
P32248,Function,C-C chemokine binding
P32248,Function,C-C chemokine receptor activity
P32248,Function,C-C motif chemokine 19 receptor activity
P32248,Function,C-C motif chemokine 21 receptor activity
P32248,Function,chemokine (C-C motif) ligand 19 binding
P32248,Function,chemokine (C-C motif) ligand 21 binding
P32248,Function,chemokine binding
P32248,Function,G protein-coupled receptor activity
P15813,Function,beta-2-microglobulin binding
P15813,Function,cell adhesion molecule binding
P15813,Function,endogenous lipid antigen binding
P15813,Function,exogenous lipid antigen binding
P15813,Function,histone binding
P15813,Function,lipid antigen binding
P15813,Function,lipopeptide binding
P86791,Function,guanyl-nucleotide exchange factor activity
P21854,Function,carbohydrate binding
P21854,Function,signaling receptor binding
P21854,Function,transmembrane signaling receptor activity
Q8IVW4,Function,ATP binding
Q8IVW4,Function,cyclin-dependent protein serine/threonine kinase activity
Q8IVW4,Function,protein kinase activity
Q5MAI5,Function,ATP binding
Q5MAI5,Function,cyclin-dependent protein serine/threonine kinase activity
O76039,Function,ATP binding
O76039,Function,cyclin-dependent protein serine/threonine kinase activity
O76039,Function,kinase activity
O76039,Function,protein kinase activity
O76039,Function,protein serine/threonine kinase activity
O76039,Function,Rac GTPase binding
Q99626,Function,DNA-binding transcription factor activity
Q99626,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Q99626,Function,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
Q99626,Function,methyl-CpG binding
Q99626,Function,RNA polymerase II distal enhancer sequence-specific DNA binding
Q99626,Function,RNA polymerase II regulatory region sequence-specific DNA binding
Q99626,Function,transcription corepressor activity
O14519,Function,DNA polymerase binding
Q5VV42,Function,"4 iron, 4 sulfur cluster binding"
Q5VV42,Function,metal ion binding
Q5VV42,Function,N6-threonylcarbomyladenosine methylthiotransferase activity
Q5VV42,Function,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
P04040,Function,aminoacylase activity
P04040,Function,antioxidant activity
P04040,Function,catalase activity
P04040,Function,enzyme binding
P04040,Function,heme binding
P04040,Function,identical protein binding
P04040,Function,metal ion binding
P04040,Function,NADP binding
P04040,Function,"oxidoreductase activity, acting on peroxide as acceptor"
P04040,Function,protein homodimerization activity
P04040,Function,signaling receptor binding
P31944,Function,cysteine-type endopeptidase activity
P31944,Function,cysteine-type endopeptidase activity involved in apoptotic process
P31944,Function,endopeptidase activity
P08311,Function,heparin binding
P08311,Function,peptidase activity
P08311,Function,serine-type endopeptidase activity
P08311,Function,serine-type peptidase activity
P23435,Function,protein homodimerization activity
P15085,Function,metallocarboxypeptidase activity
P15085,Function,zinc ion binding
P15088,Function,metallocarboxypeptidase activity
P15088,Function,zinc ion binding
P0DN79,Function,cystathionine beta-synthase activity
P0DN79,Function,cysteine synthase activity
P0DN79,Function,heme binding
P0DN79,Function,metal ion binding
P0DN79,Function,pyridoxal phosphate binding
O60729,Function,protein serine/threonine phosphatase activity
O60729,Function,protein tyrosine phosphatase activity
O60729,Function,protein tyrosine/serine/threonine phosphatase activity
P16152,Function,15-hydroxyprostaglandin dehydrogenase (NADP+) activity
P16152,Function,carbonyl reductase (NADPH) activity
P16152,Function,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"
P16152,Function,prostaglandin-E2 9-reductase activity
O75828,Function,3-keto sterol reductase activity
O75828,Function,carbonyl reductase (NADPH) activity
O75828,Function,NADPH binding
Q8IVM0,Function,ubiquitin protein ligase binding
Q9Y258,Function,CCR chemokine receptor binding
Q9Y258,Function,CCR3 chemokine receptor binding
Q9Y258,Function,chemokine activity
Q9Y258,Function,receptor ligand activity
Q9NRJ3,Function,chemokine activity
Q92583,Function,CCR chemokine receptor binding
Q92583,Function,CCR4 chemokine receptor binding
Q92583,Function,chemokine activity
Q92583,Function,signaling receptor binding
P80098,Function,CCR chemokine receptor binding
P80098,Function,CCR1 chemokine receptor binding
P80098,Function,CCR2 chemokine receptor binding
P80098,Function,chemokine activity
P80098,Function,heparin binding
P78556,Function,CCR chemokine receptor binding
P78556,Function,CCR6 chemokine receptor binding
P78556,Function,chemokine activity
Q8IV13,Function,cyclin-dependent protein serine/threonine kinase regulator activity
Q8IV13,Function,protein kinase binding
P51679,Function,C-C chemokine binding
P51679,Function,C-C chemokine receptor activity
P51679,Function,chemokine binding
P51679,Function,chemokine receptor activity
P55773,Function,CCR chemokine receptor binding
P55773,Function,CCR1 chemokine receptor binding
P55773,Function,chemokine activity
P55773,Function,heparin binding
P29016,Function,endogenous lipid antigen binding
P29016,Function,exogenous lipid antigen binding
P29016,Function,lipopeptide binding
P21127,Function,ATP binding
P21127,Function,cyclin-dependent protein serine/threonine kinase activity
P21127,Function,protein kinase activity
P21127,Function,protein serine/threonine kinase activity
P21127,Function,RNA binding
P51677,Function,C-C chemokine binding
P51677,Function,C-C chemokine receptor activity
P51677,Function,chemokine binding
P51677,Function,chemokine receptor activity
P09326,Function,antigen binding
P09326,Function,signaling receptor activity
P48960,Function,calcium ion binding
P48960,Function,G protein-coupled receptor activity
P48960,Function,transmembrane signaling receptor activity
P32970,Function,cytokine activity
P32970,Function,protease binding
P32970,Function,signaling receptor binding
P32970,Function,tumor necrosis factor receptor binding
P29965,Function,CD40 receptor binding
P29965,Function,cytokine activity
P29965,Function,tumor necrosis factor receptor binding
P09564,Function,signaling receptor activity
Q5ZPR3,Function,signaling receptor binding
Q12834,Function,anaphase-promoting complex binding
Q12834,Function,enzyme binding
Q12834,Function,histone deacetylase binding
Q12834,Function,protein C-terminus binding
Q12834,Function,ubiquitin-protein transferase activator activity
P42081,Function,coreceptor activity
P42081,Function,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"
P42081,Function,signaling receptor activity
P42081,Function,virus receptor activity
P01732,Function,coreceptor activity
P01732,Function,MHC class I protein binding
P01732,Function,protein kinase binding
Q8WTX7,Function,arginine binding
Q8WTX7,Function,identical protein binding
Q8N4J0,Function,carnosine N-methyltransferase activity
Q8N4J0,Function,S-adenosylmethionine-dependent methyltransferase activity
P14091,Function,aspartic-type endopeptidase activity
P14091,Function,protein homodimerization activity
Q03135,Function,ATPase binding
Q03135,Function,cholesterol binding
Q03135,Function,enzyme binding
Q03135,Function,identical protein binding
Q03135,Function,inward rectifier potassium channel inhibitor activity
Q03135,Function,ion channel binding
Q03135,Function,nitric-oxide synthase binding
Q03135,Function,patched binding
Q03135,Function,peptidase activator activity
Q03135,Function,"protein binding, bridging"
Q03135,Function,protein heterodimerization activity
Q03135,Function,protein kinase binding
Q03135,Function,protein-containing complex scaffold activity
Q03135,Function,Rac GTPase binding
Q03135,Function,signaling receptor binding
Q03135,Function,structural molecule activity
P31415,Function,calcium ion binding
P31415,Function,identical protein binding
Q8WUQ7,Function,RNA binding
P43235,Function,collagen binding
P43235,Function,cysteine-type endopeptidase activity
P43235,Function,cysteine-type peptidase activity
P43235,Function,fibronectin binding
P43235,Function,proteoglycan binding
P43235,Function,serine-type endopeptidase activity
Q8IUF1,Function,ATP binding
Q5RIA9,Function,ATP binding
Q4V339,Function,ATP binding
Q8NEM8,Function,metallocarboxypeptidase activity
Q8NEM8,Function,zinc ion binding
Q96MI9,Function,metallocarboxypeptidase activity
Q96MI9,Function,tubulin binding
Q96MI9,Function,zinc ion binding
Q5TID7,Function,microtubule binding
Q7Z6B0,Function,identical protein binding
Q8WXS5,Function,calcium channel regulator activity
Q8WXS5,Function,channel regulator activity
Q8WXS5,Function,voltage-gated calcium channel activity
Q9Y3X0,Function,RNA binding
Q8WXS4,Function,calcium channel activity
Q8WXS4,Function,voltage-gated ion channel activity
Q06432,Function,calcium channel regulator activity
Q06432,Function,voltage-gated calcium channel activity
O96020,Function,cyclin-dependent protein serine/threonine kinase activity
O96020,Function,cyclin-dependent protein serine/threonine kinase regulator activity
O96020,Function,protein kinase binding
Q16627,Function,CCR chemokine receptor binding
Q16627,Function,chemokine activity
P13501,Function,CCR chemokine receptor binding
P13501,Function,CCR1 chemokine receptor binding
P13501,Function,CCR4 chemokine receptor binding
P13501,Function,CCR5 chemokine receptor binding
P13501,Function,chemoattractant activity
P13501,Function,chemokine activity
P13501,Function,chemokine receptor antagonist activity
P13501,Function,chemokine receptor binding
P13501,Function,identical protein binding
P13501,Function,phosphatidylinositol phospholipase C activity
P13501,Function,phospholipase activator activity
P13501,Function,protein homodimerization activity
P13501,Function,protein kinase activity
P13501,Function,protein self-association
P13501,Function,receptor signaling protein tyrosine kinase activator activity
Q99731,Function,CCR chemokine receptor binding
Q99731,Function,CCR10 chemokine receptor binding
Q99731,Function,CCR7 chemokine receptor binding
Q99731,Function,chemokine activity
Q99731,Function,chemokine receptor binding
P22362,Function,CCR chemokine receptor binding
P22362,Function,chemokine activity
Q9UK58,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P10747,Function,coreceptor activity
P10747,Function,identical protein binding
P10747,Function,"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"
P10747,Function,protease binding
P10747,Function,protein kinase binding
P10747,Function,SH3/SH2 adaptor activity
P30279,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P30279,Function,protein kinase binding
Q8IX05,Function,carbohydrate binding
Q86Y33,Function,anaphase-promoting complex binding
Q86Y33,Function,ubiquitin-protein transferase activator activity
Q15762,Function,cell adhesion molecule binding
Q15762,Function,integrin binding
Q15762,Function,protein kinase binding
Q07108,Function,calcium ion binding
Q07108,Function,carbohydrate binding
Q07108,Function,protein homodimerization activity
Q07108,Function,transmembrane signaling receptor activity
P60953,Function,apolipoprotein A-I receptor binding
P60953,Function,GBD domain binding
P60953,Function,GTP binding
P60953,Function,GTPase activity
P60953,Function,identical protein binding
P60953,Function,mitogen-activated protein kinase kinase kinase binding
P60953,Function,protein kinase binding
P60953,Function,protein serine/threonine kinase activity
P60953,Function,thioesterase binding
P60953,Function,ubiquitin protein ligase activity
Q16543,Function,chaperone binding
Q16543,Function,heat shock protein binding
Q16543,Function,Hsp90 protein binding
Q16543,Function,kinase binding
Q16543,Function,protein kinase binding
Q16543,Function,protein kinase regulator activity
Q16543,Function,protein tyrosine kinase activity
Q16543,Function,scaffold protein binding
Q16543,Function,unfolded protein binding
P49336,Function,ATP binding
P49336,Function,cyclin-dependent protein serine/threonine kinase activity
P49336,Function,protein kinase activity
P49336,Function,protein serine/threonine kinase activity
P49336,Function,RNA polymerase II CTD heptapeptide repeat kinase activity
P11802,Function,ATP binding
P11802,Function,cyclin binding
P11802,Function,cyclin-dependent protein serine/threonine kinase activity
P11802,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P11802,Function,protein-containing complex binding
Q07002,Function,ATP binding
Q07002,Function,cyclin-dependent protein serine/threonine kinase activity
Q07002,Function,protein serine/threonine kinase activity
P42575,Function,cysteine-type endopeptidase activity
P42575,Function,cysteine-type endopeptidase activity involved in apoptotic process
P42575,Function,cysteine-type endopeptidase activity involved in execution phase of apoptosis
P42575,Function,enzyme binding
P42575,Function,identical protein binding
P42575,Function,protein domain specific binding
Q14790,Function,cysteine-type endopeptidase activity
Q14790,Function,cysteine-type endopeptidase activity involved in apoptotic process
Q14790,Function,cysteine-type endopeptidase activity involved in apoptotic signaling pathway
Q14790,Function,cysteine-type peptidase activity
Q14790,Function,death effector domain binding
Q14790,Function,death receptor binding
Q14790,Function,identical protein binding
Q14790,Function,peptidase activity
Q14790,Function,protein-containing complex binding
Q14790,Function,scaffold protein binding
Q14790,Function,tumor necrosis factor receptor binding
Q14790,Function,ubiquitin protein ligase binding
P43234,Function,cysteine-type endopeptidase activity
P47755,Function,actin filament binding
Q13948,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
O14958,Function,calcium ion binding
O14958,Function,calcium-dependent protein binding
O14958,Function,protein homodimerization activity
P09668,Function,aminopeptidase activity
P09668,Function,cysteine-type endopeptidase activator activity involved in apoptotic process
P09668,Function,cysteine-type endopeptidase activity
P09668,Function,cysteine-type peptidase activity
P09668,Function,endopeptidase activity
P09668,Function,HLA-A specific activating MHC class I receptor activity
P09668,Function,peptidase activity
P09668,Function,serine-type endopeptidase activity
P09668,Function,thyroid hormone binding
Q8N4T0,Function,metallocarboxypeptidase activity
Q8N4T0,Function,zinc ion binding
P15086,Function,carboxypeptidase activity
P15086,Function,metallocarboxypeptidase activity
P15086,Function,zinc ion binding
Q5JTY5,Function,ATP binding
P83916,Function,chromatin binding
P83916,Function,enzyme binding
P83916,Function,histone methyltransferase binding
P83916,Function,protein homodimerization activity
P48052,Function,carboxypeptidase activity
P48052,Function,metallocarboxypeptidase activity
P48052,Function,zinc ion binding
Q14781,Function,chromatin binding
Q14781,Function,DNA binding
Q14781,Function,methylated histone binding
Q8NDL9,Function,metallocarboxypeptidase activity
Q8NDL9,Function,tubulin binding
Q8NDL9,Function,zinc ion binding
Q6PK04,Function,RNA binding
Q9H6F5,Function,RNA binding
Q9BXT2,Function,calcium channel regulator activity
Q9BXT2,Function,voltage-gated calcium channel activity
P06307,Function,hormone activity
P06307,Function,neuropeptide hormone activity
P06307,Function,peptide hormone receptor binding
Q9Y4X3,Function,CCR3 chemokine receptor binding
Q9Y4X3,Function,chemokine activity
P41002,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P41002,Function,protein kinase binding
P41002,Function,ubiquitin-protein transferase activity
Q6ZMN8,Function,cyclin-dependent protein serine/threonine kinase regulator activity
Q6ZMN8,Function,protein kinase binding
P51684,Function,C-C chemokine binding
P51684,Function,C-C chemokine receptor activity
P51684,Function,chemokine binding
P51684,Function,chemokine receptor activity
P51684,Function,signaling receptor activity
O00626,Function,CCR chemokine receptor binding
O00626,Function,chemokine activity
O00175,Function,CCR chemokine receptor binding
O00175,Function,CCR3 chemokine receptor binding
O00175,Function,chemokine activity
O00175,Function,receptor ligand activity
O00421,Function,C-C chemokine binding
O00421,Function,C-C chemokine receptor activity
O00421,Function,CCR chemokine receptor binding
O00421,Function,chemokine binding
O00421,Function,chemokine receptor activity
O00421,Function,chemokine receptor binding
P08571,Function,lipopeptide binding
P08571,Function,lipopolysaccharide binding
P08571,Function,lipoteichoic acid binding
P08571,Function,opsonin receptor activity
P08571,Function,peptidoglycan receptor activity
P51681,Function,actin binding
P51681,Function,C-C chemokine binding
P51681,Function,C-C chemokine receptor activity
P51681,Function,chemokine (C-C motif) ligand 5 binding
P51681,Function,chemokine binding
P51681,Function,chemokine receptor activity
P51681,Function,coreceptor activity
P51681,Function,phosphatidylinositol phospholipase C activity
P51681,Function,virus receptor activity
Q6YHK3,Function,serine-type endopeptidase inhibitor activity
Q6YHK3,Function,transforming growth factor beta binding
P15812,Function,endogenous lipid antigen binding
P15812,Function,exogenous lipid antigen binding
P15812,Function,lipopeptide binding
O95400,Function,ribonucleoprotein complex binding
P09693,Function,protein heterodimerization activity
P09693,Function,protein homodimerization activity
P09693,Function,receptor signaling complex scaffold activity
P09693,Function,T cell receptor binding
P09693,Function,transmembrane signaling receptor activity
Q8N6Q3,Function,calcium-dependent protein binding
Q8N6Q3,Function,integrin binding
Q8N6Q3,Function,protease binding
Q9NPF0,Function,calcium ion binding
Q9NPF0,Function,cobalamin binding
Q9NPF0,Function,cobalamin-transporting ATPase activity
Q9NPF0,Function,growth factor activity
P20138,Function,carbohydrate binding
P20138,Function,protein phosphatase binding
P20138,Function,signaling receptor activity
P30260,Function,protein phosphatase binding
Q9HCU0,Function,calcium ion binding
Q9HCU0,Function,carbohydrate binding
Q9HCU0,Function,extracellular matrix binding
Q9HCU0,Function,extracellular matrix protein binding
O75419,Function,3'-5' DNA helicase activity
O75419,Function,chromatin binding
O75419,Function,DNA replication origin binding
O75419,Function,single-stranded DNA binding
Q96PB1,Function,acetyltransferase activity
Q96PB1,Function,N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity
Q16568,Function,neuropeptide hormone activity
A6NHX0,Function,identical protein binding
P52907,Function,actin binding
P52907,Function,actin filament binding
P52907,Function,cadherin binding
P53634,Function,chaperone binding
P53634,Function,chloride ion binding
P53634,Function,cysteine-type endopeptidase activity
P53634,Function,cysteine-type peptidase activity
P53634,Function,identical protein binding
P53634,Function,peptidase activator activity involved in apoptotic process
P53634,Function,phosphatase binding
P53634,Function,protein self-association
P53634,Function,serine-type endopeptidase activity
O15444,Function,CCR chemokine receptor binding
O15444,Function,CCR10 chemokine receptor binding
O15444,Function,chemokine activity
O15444,Function,chemokine receptor binding
O15444,Function,hormone activity
P20248,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P20248,Function,protein domain specific binding
P20248,Function,protein kinase binding
Q16663,Function,CCR chemokine receptor binding
Q16663,Function,chemoattractant activity
Q16663,Function,chemokine activity
Q16663,Function,heparin binding
Q16663,Function,signaling receptor binding
P55774,Function,CCR chemokine receptor binding
P55774,Function,chemokine activity
O75909,Function,cyclin-dependent protein serine/threonine kinase activator activity
O75909,Function,cyclin-dependent protein serine/threonine kinase activity
O75909,Function,cyclin-dependent protein serine/threonine kinase regulator activity
O75909,Function,protein kinase binding
O75909,Function,protein serine/threonine kinase activity
O75909,Function,RNA polymerase II CTD heptapeptide repeat kinase activity
Q6IQ19,Function,microtubule binding
Q9H7U1,Function,microtubule binding
Q8N7R7,Function,cyclin-dependent protein serine/threonine kinase regulator activity
Q8N7R7,Function,protein kinase binding
P48509,Function,integrin binding
P30281,Function,cyclin-dependent protein serine/threonine kinase activity
P30281,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P30281,Function,protein kinase binding
P20963,Function,identical protein binding
P20963,Function,protein homodimerization activity
P20963,Function,protein tyrosine kinase binding
P20963,Function,transmembrane signaling receptor activity
P01730,Function,coreceptor activity
P01730,Function,enzyme binding
P01730,Function,extracellular matrix structural constituent
P01730,Function,identical protein binding
P01730,Function,immunoglobulin binding
P01730,Function,interleukin-16 binding
P01730,Function,interleukin-16 receptor activity
P01730,Function,MHC class II protein binding
P01730,Function,protein homodimerization activity
P01730,Function,protein kinase binding
P01730,Function,protein tyrosine kinase binding
P01730,Function,signaling receptor activity
P01730,Function,transmembrane signaling receptor activity
P01730,Function,virus receptor activity
P01730,Function,zinc ion binding
Q16204,Function,SH3 domain binding
Q16204,Function,structural constituent of cytoskeleton
P51671,Function,CCR chemokine receptor binding
P51671,Function,CCR3 chemokine receptor binding
P51671,Function,chemokine activity
P51671,Function,protein dimerization activity
P51671,Function,receptor ligand activity
P22674,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P22674,Function,protein kinase binding
O60563,Function,7SK snRNA binding
O60563,Function,chromatin binding
O60563,Function,cyclin-dependent protein serine/threonine kinase activator activity
O60563,Function,cyclin-dependent protein serine/threonine kinase regulator activity
O60563,Function,DNA binding
O60563,Function,protein kinase binding
O60563,Function,protein serine/threonine kinase activity
O60563,Function,RNA polymerase binding
O60563,Function,transcription factor binding
O60563,Function,transcription regulatory region DNA binding
O15467,Function,CCR chemokine receptor binding
O15467,Function,chemoattractant activity
O15467,Function,chemokine activity
P51959,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P51959,Function,protein kinase binding
P32246,Function,C-C chemokine binding
P32246,Function,C-C chemokine receptor activity
P32246,Function,chemokine (C-C motif) ligand 5 binding
P32246,Function,chemokine (C-C motif) ligand 7 binding
P32246,Function,chemokine binding
P32246,Function,chemokine receptor activity
P32246,Function,phosphatidylinositol phospholipase C activity
P51685,Function,C-C chemokine binding
P51685,Function,C-C chemokine receptor activity
P51685,Function,chemokine binding
P51685,Function,chemokine receptor activity
P51685,Function,coreceptor activity
Q13319,Function,actin binding
Q13319,Function,cyclin-dependent protein kinase 5 activator activity
Q13319,Function,lipid binding
Q08722,Function,cell-cell adhesion mediator activity
Q08722,Function,protein binding involved in heterotypic cell-cell adhesion
Q08722,Function,thrombospondin receptor activity
Q99459,Function,DNA binding
Q99459,Function,"DNA-binding transcription activator activity, RNA polymerase II-specific"
Q99459,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
Q99459,Function,leucine zipper domain binding
Q99459,Function,protein kinase binding
Q99459,Function,protein phosphatase 1 binding
Q99459,Function,RNA binding
Q99459,Function,RNA polymerase II regulatory region sequence-specific DNA binding
Q99459,Function,transcription corepressor binding
Q99459,Function,WD40-repeat domain binding
O94921,Function,ATP binding
O94921,Function,cyclin binding
O94921,Function,cyclin-dependent protein serine/threonine kinase activity
Q15131,Function,ATP binding
Q15131,Function,cyclin-dependent protein serine/threonine kinase activity
Q15131,Function,protein serine/threonine kinase activity
P13688,Function,actin binding
P13688,Function,bile acid transmembrane transporter activity
P13688,Function,calmodulin binding
P13688,Function,filamin binding
P13688,Function,identical protein binding
P13688,Function,kinase binding
P13688,Function,protein dimerization activity
P13688,Function,protein homodimerization activity
P13688,Function,protein phosphatase binding
P13688,Function,protein tyrosine kinase binding
P42773,Function,cyclin-dependent protein serine/threonine kinase inhibitor activity
P42773,Function,protein kinase binding
P53567,Function,DNA binding
P53567,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
P53567,Function,protein heterodimerization activity
P53567,Function,protein homodimerization activity
P53567,Function,"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"
P53567,Function,RNA polymerase II proximal promoter sequence-specific DNA binding
P53567,Function,sequence-specific DNA binding
P53567,Function,transcription factor binding
Q02224,Function,ATP binding
Q02224,Function,ATPase activity
Q02224,Function,kinetochore binding
Q02224,Function,microtubule binding
Q02224,Function,microtubule motor activity
Q8N2Z9,Function,chromatin binding
Q8N2Z9,Function,DNA binding
Q8N2Z9,Function,double-stranded DNA binding
Q8N2Z9,Function,protein heterodimerization activity
P27544,Function,sphingosine N-acyltransferase activity
Q8IW35,Function,calmodulin binding
Q5EE01,Function,DNA binding
Q5EE01,Function,protein heterodimerization activity
Q5JU67,Function,microtubule binding
Q13191,Function,calcium ion binding
Q13191,Function,phosphotyrosine residue binding
Q13191,Function,receptor tyrosine kinase binding
Q13191,Function,SH3 domain binding
Q13191,Function,ubiquitin protein ligase activity
Q13191,Function,zinc ion binding
Q5U5Z8,Function,metallocarboxypeptidase activity
Q5U5Z8,Function,zinc ion binding
A4D256,Function,protein serine/threonine phosphatase activity
A4D256,Function,protein tyrosine phosphatase activity
A4D256,Function,protein tyrosine/serine/threonine phosphatase activity
Q5VU57,Function,metallocarboxypeptidase activity
Q5VU57,Function,tubulin binding
Q5VU57,Function,zinc ion binding
Q96A33,Function,calcium ion binding
Q96A33,Function,RNA binding
Q9UF02,Function,channel regulator activity
Q9UF02,Function,ion transmembrane transporter activity
Q9UF02,Function,voltage-gated calcium channel activity
P24385,Function,cyclin-dependent protein serine/threonine kinase activity
P24385,Function,cyclin-dependent protein serine/threonine kinase regulator activity
P24385,Function,enzyme binding
P24385,Function,histone deacetylase binding
P24385,Function,proline-rich region binding
P24385,Function,protein kinase binding
P24385,Function,protein-containing complex binding
P24385,Function,transcription corepressor activity
P24385,Function,transcription factor binding
P20273,Function,carbohydrate binding
P20273,Function,CD4 receptor binding
P20273,Function,IgM binding
P20273,Function,protein phosphatase binding
P20273,Function,sialic acid binding
P20273,Function,signaling receptor binding
P30203,Function,identical protein binding
P30203,Function,lipopolysaccharide binding
P30203,Function,lipoteichoic acid binding
P30203,Function,scavenger receptor activity
P21926,Function,integrin binding
Q00532,Function,ATP binding
Q00532,Function,cyclin-dependent protein serine/threonine kinase activity
Q15078,Function,actin filament binding
Q15078,Function,alpha-tubulin binding
Q15078,Function,beta-tubulin binding
Q15078,Function,cadherin binding
Q15078,Function,calcium ion binding
Q15078,Function,cyclin-dependent protein kinase 5 activator activity
Q15078,Function,ephrin receptor binding
Q15078,Function,ionotropic glutamate receptor binding
Q15078,Function,kinase activity
Q15078,Function,protease binding
Q15078,Function,protein kinase activity
Q15078,Function,protein kinase binding
Q15078,Function,protein serine/threonine kinase activator activity
Q9H305,Function,metal ion binding
Q9Y6F7,Function,histone acetyltransferase activity
Q9Y6F7,Function,transcription corepressor activity
Q8TEP8,Function,phosphatase binding
Q9NYQ7,Function,calcium ion binding
Q9NYQ7,Function,G protein-coupled receptor activity
P08218,Function,serine-type endopeptidase activity
Q5SZQ8,Function,7SK snRNA binding
Q5SZQ8,Function,mRNA binding
Q5SZQ8,Function,pre-mRNA binding
Q5SZQ8,Function,RNA binding
Q96G23,Function,DNA binding
Q96G23,Function,sphingosine N-acyltransferase activity
Q9HA82,Function,DNA binding
Q9HA82,Function,sphingosine N-acyltransferase activity
P00450,Function,chaperone binding
P00450,Function,copper ion binding
P00450,Function,ferroxidase activity
P00450,Function,"oxidoreductase activity, oxidizing metal ions"
Q15038,Function,identical protein binding
Q15038,Function,mitogen-activated protein kinase kinase kinase binding
Q15038,Function,protein serine/threonine kinase activator activity
Q15038,Function,receptor tyrosine kinase binding
Q15038,Function,WW domain binding
Q92564,Function,cullin family protein binding
Q92564,Function,ubiquitin conjugating enzyme binding
Q92564,Function,ubiquitin-like protein binding
O95865,Function,amino acid binding
O95865,Function,catalytic activity
O95865,Function,dimethylargininase activity
Q16531,Function,cullin family protein binding
Q16531,Function,damaged DNA binding
Q16531,Function,DNA binding
Q16531,Function,"protein binding, bridging"
Q16531,Function,protein-containing complex binding
Q16531,Function,WD40-repeat domain binding
Q92771,Function,ATP binding
Q92771,Function,ATP-dependent DNA helicase activity
Q92771,Function,DNA binding
Q92771,Function,RNA binding
O75398,Function,DNA-binding transcription factor activity
O75398,Function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
O75398,Function,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
O75398,Function,metal ion binding
O75398,Function,RNA polymerase II regulatory region sequence-specific DNA binding
Q01524,Function,protein homodimerization activity
O15523,Function,ATP binding
O15523,Function,DNA binding
O15523,Function,helicase activity
O15523,Function,RNA binding
Q5VZ89,Function,Rab guanyl-nucleotide exchange factor activity
P00367,Function,ADP binding
P00367,Function,ATP binding
P00367,Function,glutamate dehydrogenase (NAD+) activity
P00367,Function,glutamate dehydrogenase [NAD(P)+] activity
P00367,Function,GTP binding
P00367,Function,identical protein binding
P00367,Function,leucine binding
P00367,Function,NAD+ binding
Q8WVC6,Function,ATP binding
Q8WVC6,Function,dephospho-CoA kinase activity
Q9BVC3,Function,DNA binding
O15075,Function,ATP binding
O15075,Function,protein kinase activity
O15075,Function,protein serine/threonine kinase activity
Q9C098,Function,ATP binding
Q9C098,Function,protein kinase activity
Q9C098,Function,protein serine/threonine kinase activity
Q9BTE7,Function,cullin family protein binding
Q9BTE7,Function,ubiquitin conjugating enzyme binding
Q9BTE7,Function,ubiquitin-like protein binding
Q96HY6,Function,RNA polymerase II repressing transcription factor binding
Q96HY6,Function,ubiquitin-like protein ligase binding
A6NHG4,Function,lyase activity
Q8WXF8,Function,DNA binding
Q8WXF8,Function,receptor signaling complex scaffold activity
Q8IV53,Function,phosphatidylinositol phosphate binding
Q8IV53,Function,Rab GTPase binding
Q8IV53,Function,Rab guanyl-nucleotide exchange factor activity
Q8NCG7,Function,acylglycerol lipase activity
Q8NCG7,Function,metal ion binding
Q53GQ0,Function,3-oxo-arachidoyl-CoA reductase activity
Q53GQ0,Function,3-oxo-behenoyl-CoA reductase activity
Q53GQ0,Function,3-oxo-cerotoyl-CoA reductase activity
Q53GQ0,Function,3-oxo-lignoceroyl-CoA reductase activity
Q53GQ0,Function,collagen binding
Q53GQ0,Function,estradiol 17-beta-dehydrogenase activity
Q53GQ0,Function,fibronectin binding
Q53GQ0,Function,heparin binding
Q53GQ0,Function,long-chain-3-hydroxyacyl-CoA dehydrogenase activity
A0PJE2,Function,oxidoreductase activity
Q14147,Function,ATP binding
Q14147,Function,ATP-dependent 3'-5' RNA helicase activity
Q14147,Function,RNA binding
Q9BTZ2,Function,3-keto sterol reductase activity
